block,uncles_zero,uncles_one,uncles_two,difficulty_median,difficulty_mean,difficulty_p1,difficulty_p5,difficulty_p25,difficulty_p50,difficulty_p75,difficulty_p95,difficulty_p99,timedelta_median,timedelta_mean,timedelta_p1,timedelta_p5,timedelta_p25,timedelta_p50,timedelta_p75,timedelta_p95,timedelta_p99,block_timestamp_date,block_timestamp_time
10000,8568,1315,118,1.78040237088e+11,2.3035320421557535e+11,1.7912065179e+10,2.1774495198e+10,5.7635216742e+10,1.77996791447e+11,3.90567515729e+11,5.685520612955e+11,5.923283863095e+11,4,6.464546454645465,1,1,2,4,8,21,37,2015-07-31,09:23:47
20000,9351,626,23,8.600191611675e+11,8.273632950450018e+11,6.03407352416e+11,6.28948322415e+11,7.4417248808e+11,8.60018956123e+11,8.94023679743e+11,9.66943352996e+11,9.8018862973e+11,11,15.4052,1,1,5,11,21,44,68,2015-08-02,04:11:19
30000,9253,713,34,1.104142082384e+12,1.0848708681325673e+12,9.78255308938e+11,9.92661344214e+11,1.035986762831e+12,1.10414195076e+12,1.127348880354e+12,1.160921018236e+12,1.164906492042e+12,12,16.2255,1,1,5,12,22,46,69,2015-08-04,01:15:34
40000,9237,737,26,1.282087674394e+12,1.271971277142806e+12,1.132854145411e+12,1.151857273326e+12,1.224591157683e+12,1.282086298863e+12,1.317514897472e+12,1.366970271658e+12,1.373841394161e+12,12,16.3319,1,1,5,12,23,46,70,2015-08-05,22:37:33
50000,9241,729,30,1.4376190933095e+12,1.418947388830366e+12,1.343359140519e+12,1.354512721587e+12,1.369663154035e+12,1.437277280765e+12,1.461041378728e+12,1.482923813467e+12,1.495831091161e+12,12,16.8327,1,1,5,12,23,48,74,2015-08-07,21:23:00
60000,9182,778,40,1.6172084310235e+12,1.6298446767631418e+12,1.508207099036e+12,1.515641796511e+12,1.568155260251e+12,1.617208045451e+12,1.707301894594e+12,1.732279256545e+12,1.741327018897e+12,12,16.465,1,1,5,12,23,48,71,2015-08-09,19:07:10
70000,9224,746,30,1.91351668943e+12,1.8857162367649353e+12,1.725514220129e+12,1.731187814958e+12,1.770310130697e+12,1.913516461321e+12,1.950582283107e+12,2.069876945343e+12,2.104455717489e+12,12,16.6014,1,1,6,12,23,47,72,2015-08-11,17:14:04
80000,9133,828,39,2.2217767885835e+12,2.2245078564523926e+12,2.110594427902e+12,2.140523171807e+12,2.187552196096e+12,2.221776523727e+12,2.24822527447e+12,2.341540747912e+12,2.351808788418e+12,12,16.5341,1,1,6,12,23,46,72,2015-08-13,15:09:45
90000,9105,862,33,2.7158168249655e+12,2.7558130778334897e+12,2.351729728939e+12,2.374165232135e+12,2.433201253101e+12,2.715812292458e+12,3.138720889304e+12,3.315921084178e+12,3.343506568752e+12,11,15.3688,1,1,5,11,21,42,65,2015-08-15,09:51:13
100000,9271,698,31,3.600122039472e+12,3.613193383806488e+12,3.299562624022e+12,3.340122768528e+12,3.479186845073e+12,3.599829561496e+12,3.785298982416e+12,3.86487984396e+12,3.880298888962e+12,12,16.6865,1,1,6,12,23,47,72,2015-08-17,08:12:18
110000,9282,688,30,4.3360927148405e+12,4.227220479548944e+12,3.811272329582e+12,3.82811589734e+12,3.970296043372e+12,4.336092197938e+12,4.410296925855e+12,4.472789090589e+12,4.490229789225e+12,12,16.7059,1,1,6,12,23,48,71,2015-08-19,06:36:37
120000,9342,634,24,4.422119475597e+12,4.42944088924679e+12,4.287539974969e+12,4.306235791462e+12,4.37685323512e+12,4.422113149704e+12,4.47340657642e+12,4.589161670583e+12,4.605145855262e+12,12,18.5876,1,1,6,12,23,49,78,2015-08-21,10:14:33
130000,9407,577,16,4.716016424387e+12,4.772008395060424e+12,4.39626446485e+12,4.409124136869e+12,4.490453540329e+12,4.716015862194e+12,5.062961437099e+12,5.126832915121e+12,5.150036852742e+12,12,16.7783,1,2,6,12,23,48,74,2015-08-23,08:50:56
140000,9337,641,22,5.1887265818275e+12,5.17497690262617e+12,5.012797501458e+12,5.049444254292e+12,5.145847242039e+12,5.188725963283e+12,5.216287015921e+12,5.263851178204e+12,5.281025572598e+12,12.5,17.0642,1,2,6,12,23,47,72,2015-08-25,08:14:58
150000,9392,590,18,5.5095447972615e+12,5.48639425368122e+12,5.018517136337e+12,5.037960866019e+12,5.24752077428e+12,5.508776682585e+12,5.726271507514e+12,5.878498644702e+12,5.90051175407e+12,12,17.1476,1,1,5,12,24,52,78,2015-08-27,07:52:54
160000,9456,522,22,6.243555279489e+12,6.230148809192904e+12,5.893022531289e+12,5.910335108032e+12,5.983608928115e+12,6.243554535199e+12,6.368769188947e+12,6.662354488093e+12,6.7536900862e+12,12,18.6825,1,1,3,12,27,61,94,2015-08-29,11:46:39
170000,9558,437,5,6.795375997675e+12,6.923162893746772e+12,6.671399578963e+12,6.687488635926e+12,6.725793086809e+12,6.795375187603e+12,7.144333072731e+12,7.329834385355e+12,7.441316625952e+12,12,20.8457,1,1,2,12,30,71,116,2015-08-31,21:40:56
180000,9619,372,9,7.8165308246265e+12,8.124125272220629e+12,7.46654421476e+12,7.49926656903e+12,7.6481181163e+12,7.816529892823e+12,8.655943528758e+12,9.351397262715e+12,9.429563430113e+12,12,23.6051,1,1,1,12,34,86,140,2015-09-03,15:15:07
190000,9479,509,12,6.279644852455e+12,6.497757007980984e+12,6.131444948436e+12,6.155777362885e+12,6.21341678558e+12,6.279644103863e+12,6.61168663333e+12,7.630408300904e+12,7.993060566262e+12,14,19.3029,1,1,5,14,27,58,89,2015-09-05,20:52:16
200000,9336,637,27,6.321282733791e+12,6.325277798666795e+12,6.222437610669e+12,6.242744055154e+12,6.278513082823e+12,6.321273691122e+12,6.361606215218e+12,6.430835729686e+12,6.450742515078e+12,13,17.5253,1,1,5,13,24,51,79,2015-09-07,21:33:09
210000,9336,639,25,6.1550156995345e+12,6.139054010630908e+12,5.984474227711e+12,5.996614408971e+12,6.054806555973e+12,6.1550149658e+12,6.206259112498e+12,6.267040009916e+12,6.317122223932e+12,12,17.3248,1,1,6,12,24,49,74,2015-09-09,21:40:37
220000,9248,717,35,6.3686469690065e+12,6.401602551253622e+12,6.170345620549e+12,6.215557040577e+12,6.283948496118e+12,6.368644691404e+12,6.514563084493e+12,6.650593844402e+12,6.761375960277e+12,12,17.1292,1,1,6,12,24,48,73,2015-09-11,21:15:29
230000,9333,642,25,6.947391043267e+12,6.914881410622197e+12,6.694716884669e+12,6.733487349859e+12,6.78766041881e+12,6.947377792185e+12,7.019731794008e+12,7.085829103587e+12,7.107943912764e+12,12,17.277,1,1,6,12,24,49,75,2015-09-13,21:14:59
