block,uncles_zero,uncles_one,uncles_two,difficulty_avg,blocktime_avg
10000,8568,1315,118,230376239535,143833
20000,9351,626,23,827363295045,15
30000,9253,713,34,1084870868132,16
40000,9237,737,26,1271971277142,16
50000,9241,729,30,1418947388830,16
60000,9182,778,40,1629844676763,16
70000,9224,746,30,1885716236764,16
80000,9133,828,39,2224507856452,16
90000,9105,862,33,2755813077833,15
100000,9271,698,31,3613193383806,16
110000,9282,688,30,4227220479548,16
120000,9342,634,24,4429440889246,18
130000,9407,577,16,4772008395060,16
140000,9337,641,22,5174976902626,17
150000,9392,590,18,5486394253681,17
160000,9456,522,22,6230148809192,18
170000,9558,437,5,6923162893746,20
180000,9619,372,9,8124125272220,23
190000,9479,509,12,6497757007980,19
200000,9336,637,27,6325277798666,17
210000,9336,639,25,6139054010630,17
220000,9248,717,35,6401602551253,17
230000,9333,642,25,6914881410622,17
240000,9268,700,32,6554216824238,17
250000,9235,736,29,6116745210613,17
260000,9143,819,38,5600090630208,17
270000,9328,641,31,6356622730133,16
280000,9408,575,17,6738862695975,16
290000,9314,667,19,7000286956974,17
300000,9347,635,18,7234331927634,17
310000,9391,588,21,6426290591792,18
320000,9288,695,17,5642858443932,17
330000,9420,560,20,6140801817140,16
340000,9438,545,17,6247489097928,17
350000,9442,548,10,6119005370101,17
360000,9500,492,8,6055921523723,17
370000,9430,551,19,6084674743306,17
380000,9453,533,14,6252853791402,16
390000,9426,557,17,6342806699798,17
400000,9421,565,14,5910574197855,17
410000,9433,543,24,5942880089777,17
420000,9393,586,21,5859912899191,17
430000,9391,589,20,5812499454332,17
440000,9355,625,20,6442150367068,16
450000,9296,672,32,6536386235914,17
460000,9209,753,38,6935660920997,17
470000,9132,829,39,7587936566199,16
480000,8894,1041,65,7756479302252,16
490000,8970,977,53,7505355485653,16
500000,9153,801,46,7600483929342,16
510000,8933,996,71,7607461511938,17
520000,9005,948,47,7759101685357,17
530000,8741,1168,91,7707548628369,17
540000,8725,1189,86,7877110471354,16
550000,8914,1010,76,8200932571055,16
560000,9051,898,51,8312092903553,16
570000,9126,837,37,8595095088685,17
580000,9171,789,40,7578690279519,17
590000,9093,866,41,7591218568871,17
600000,9097,841,62,7571556564226,17
610000,9006,934,60,7523085629863,17
620000,8999,947,54,7726303672989,17
630000,8975,975,50,7869028609048,17
640000,9045,918,37,7661729773504,17
650000,9186,772,42,8028825578154,17
660000,9109,828,63,7698609898192,17
670000,9006,939,55,7446919060256,16
680000,9117,847,36,7994456161533,17
690000,9189,783,28,8414838712369,16
700000,9146,822,32,8655712661950,17
710000,9230,738,32,8691338675396,17
720000,9193,784,23,8709216498023,17
730000,9178,787,35,8559773628475,17
740000,9126,819,55,8581500192787,17
750000,9248,721,31,8545898276581,17
760000,9174,791,35,8517992723623,17
770000,9123,842,35,8574661530313,17
780000,9161,806,33,8539157740909,17
790000,9095,866,39,8291760968037,17
800000,9023,928,49,8322264128438,16
810000,8908,1028,64,8394618083464,16
820000,8981,959,60,8241059612036,17
830000,9047,897,56,8393089112952,16
840000,9306,677,17,8877204233673,17
850000,9253,708,39,8622863845226,17
860000,9327,653,20,9104946988334,17
870000,9310,670,20,9288724844782,16
880000,9348,626,26,9471145936373,17
890000,9395,585,20,9761917206599,17
900000,9348,632,20,10119559391606,17
910000,9349,629,22,10478385947283,17
920000,9380,595,25,10630529690288,17
930000,9387,590,23,10880906577263,17
940000,9296,681,23,10809056425066,17
950000,9398,584,18,10772797277949,17
960000,9334,644,22,11144556881245,17
970000,9313,667,20,10957375506399,17
980000,9370,608,22,11391040143443,17
990000,9290,689,21,11823477880891,17
1000000,9305,671,24,11810274976956,17
1010000,9291,680,29,12679146056633,17
1020000,9296,678,26,12714014577691,17
1030000,9306,673,21,12414327743060,17
1040000,9341,634,25,12878118949530,17
1050000,9351,630,19,13593912560789,17
1060000,9363,612,25,13595687314665,17
1070000,9353,615,32,14262929792792,17
1080000,9362,611,27,14839573306385,17
1090000,9369,608,23,14685934894505,17
1100000,9452,539,9,15829956734831,17
1110000,9498,482,20,16841564358335,17
1120000,9553,434,13,17316361215371,17
1130000,9575,408,17,17884517054152,17
1140000,9443,538,19,19049038960997,16
1150000,9444,531,25,20165172227576,16
1160000,9389,579,32,17805345399299,14
1170000,9302,653,45,18063066760357,14
1180000,9270,683,47,18391698987455,14
1190000,9331,635,34,19300081584817,14
1200000,9342,624,34,19493270908952,14
1210000,9304,655,41,19118929309147,14
1220000,9313,642,45,20853989663446,14
1230000,9328,638,34,21865433422308,14
1240000,9374,590,36,22048683023154,14
